bronzé	VERB	bronzer
bien	ADV	bien
Tony	PROPN	Tony
vague	NOUN	vague
plein	ADJ	plein
sortit	VERB	sortir
néanmoins	ADV	néanmoins
général	NOUN	général
n'	ADV	n'
que	SCONJ	que
le	DET	le
autres	ADJ	autre
forcés	ADJ	forcer
remue	NOUN	remue
même	ADV	même
.	PUNCT	.
yeux	NOUN	oeil
En	ADP	en
.	PUNCT	.
il	PRON	il
accessit	NOUN	accessit
chérie	NOUN	chéri
entrait	VERB	entrer
de	ADP	de
Comédie	NOUN	comédie
place	NOUN	place
Second	ADJ	second
.	PUNCT	.
campé	VERB	camper
,	PUNCT	,
à	ADP	à
Moi	PRON	moi
toujours	ADV	toujours
Conservatoire	NOUN	conservatoire
certains	PRON	certains
c'	PRON	ce
Tony	PROPN	Tony
son	DET	son
une	DET	un
est	AUX	être
reconnaissait	VERB	reconnaître
aux	ADP	à
fatidique	ADJ	fatidique
mon	DET	mon
:	PUNCT	:
.	PUNCT	.
on	PRON	on
vous	PRON	vous
vous	PRON	vous
vie	NOUN	vie
,	PUNCT	,
la	DET	le
.	PUNCT	.
jolie	ADJ	joli
déclara	VERB	déclarer
pense	VERB	pense
.	PUNCT	.
dans	ADP	dans
Fernand	PROPN	Fernand
roux	ADJ	roux
.	PUNCT	.
en	ADP	en
cet	DET	ce
applaudit	VERB	applaudir
est	AUX	être
l'	DET	le
il	PRON	il
,	PUNCT	,
unanimité	NOUN	unanimité
,	PUNCT	,
.	PUNCT	.
à	ADP	à
où	PRON	où
Je	PRON	je
,	PUNCT	,
,	PUNCT	,
enthousiasme	NOUN	enthousiasme
,	PUNCT	,
serviras	VERB	servir
Il	PRON	il
prix	NOUN	prix
avec	ADP	avec
—	PUNCT	—
épaules	NOUN	épaule
souriait	VERB	sourire
ont	AUX	avoir
dramatique	ADJ	dramatique
toujours	ADV	toujours
maintenant	ADV	maintenant
même	ADJ	même
public	NOUN	public
joie	NOUN	joie
Le	DET	le
accueillit	VERB	accueillir
pleine	ADJ	plein
une	DET	un
coulisses	NOUN	coulisse
:	PUNCT	:
encore	ADV	encore
qui	PRON	qui
exigea	VERB	exiger
:	PUNCT	:
ainsi	ADV	ainsi
qu'	PRON	qu'
cette	DET	ce
