Oh	INTJ	Oh
dirai	VERB	dire
.	PUNCT	.
les	DET	le
gravité	NOUN	gravité
.	PUNCT	.
j'	PRON	je
que	PRON	que
m'	PRON	me
on	PRON	on
ai	AUX	avoir
se	PRON	se
un	DET	un
j'	PRON	je
,	PUNCT	,
,	PUNCT	,
glissante	ADJ	glissant
avaient	VERB	avoir
qu'	SCONJ	que
,	PUNCT	,
votre	DET	votre
cauchemar	NOUN	cauchemar
je	PRON	je
J'	PRON	je
,	PUNCT	,
derniers	ADJ	dernier
circonstances	NOUN	circonstance
qui	PRON	qui
et	CCONJ	et
.	PUNCT	.
même	PRON	même
notaire	NOUN	notaire
,	PUNCT	,
Et	CCONJ	et
bras	NOUN	bras
je	PRON	je
paternelle	ADJ	paternel
moi	PRON	moi
,	PUNCT	,
vos	DET	votre
d'	ADP	de
de	ADP	de
coin	NOUN	coin
.	PUNCT	.
du	ADP	de
leur	DET	leur
de	ADP	de
mal	ADV	mal
l'	DET	le
De	ADP	de
petit	ADJ	petit
.	PUNCT	.
dans	ADP	dans
vous	PRON	vous
tenais	VERB	tenir
.	PUNCT	.
agissait	VERB	agir
vous	PRON	vous
notre	DET	notre
:	PUNCT	:
.	PUNCT	.
que	PRON	que
consigner	VERB	consigner
moral	NOUN	moral
parlé	VERB	parler
.	PUNCT	.
-	PROPN	-
souvenir	NOUN	souvenir
toujours	ADV	toujours
ceinture	NOUN	ceinture
ouvris	VERB	ouvrir
Impossible	ADJ	impossible
,	PUNCT	,
chose	NOUN	chose
en	PRON	en
centre	NOUN	centre
fantôme	NOUN	fantôme
.	PUNCT	.
sable	NOUN	sable
Je	PRON	je
Kellermann	PROPN	Kellermann
canapé	NOUN	canapé
ai	AUX	avoir
du	ADP	de
ai	AUX	avoir
et	CCONJ	et
a	AUX	avoir
accorde	VERB	accorde
Cet	DET	ce
voulu	VERB	vouloir
.	PUNCT	.
,	PUNCT	,
en	PRON	en
d'	ADP	de
-vous	PRON	vous
ne	ADV	ne
--	PUNCT	--
.	PUNCT	.
,	PUNCT	,
ne	ADV	ne
reconnaissance	NOUN	reconnaissance
Sieffer	PROPN	Sieffer
dans	ADP	dans
,	PUNCT	,
la	DET	le
de	ADP	de
quitter	VERB	quitter
Tel	ADJ	tel
Je	PRON	je
encore	ADV	encore
imagination	NOUN	imagination
de	ADP	de
Je	PRON	je
Je	PRON	je
avec	ADP	avec
des	DET	un
Il	PRON	il
un	DET	un
le	DET	le
en	ADP	en
on	PRON	on
voix	NOUN	voix
dix	NUM	dix
des	DET	un
'	DET	'
longue	ADJ	long
jamais	ADV	jamais
choses	NOUN	chose
rencontrer	VERB	rencontrer
main	NOUN	main
face	NOUN	face
Une	DET	un
sujet	NOUN	sujet
de	ADP	de
coups	NOUN	coup
dépôt	NOUN	dépôt
.	PUNCT	.
la	DET	le
que	SCONJ	que
-vous	PRON	vous
lorsqu'	SCONJ	lorsque
Magenta	PROPN	Magenta
affection	NOUN	affection
il	PRON	il
visitons	VERB	visiter
je	PRON	je
chance	NOUN	chance
eux	PRON	lui
en	ADP	en
et	CCONJ	et
efforts	NOUN	effort
des	DET	un
marché	NOUN	marché
Sieffer	PROPN	Sieffer
n'	ADV	n'
Du	ADP	de
que	PRON	que
le	DET	le
rat	NOUN	rat
émouvants	ADJ	émouvant
l'	DET	le
d'	ADP	de
en	ADP	en
son	DET	son
perdent	VERB	perdre
.	PUNCT	.
voulut	VERB	vouloir
mystérieux	ADJ	mystérieux
débarrasser	VERB	débarrasser
quatre	NUM	quatre
observait	VERB	observer
eu	VERB	avoir
mes	DET	mon
laissé	VERB	laisser
Ce	DET	ce
beau	ADJ	beau
l'	DET	le
guère	ADV	guère
le	DET	le
vous	PRON	vous
ans	NOUN	an
,	PUNCT	,
insignifiants	ADJ	insignifiant
dernière	ADJ	dernier
lieux	NOUN	lieu
être	VERB	être
Fauteuils	NOUN	fauteuil
paternité	NOUN	paternité
qu'	SCONJ	que
orphelins	ADJ	orphelin
que	PRON	que
regard	NOUN	regard
immobilité	NOUN	immobilité
.	PUNCT	.
fils	NOUN	fils
-je	PRON	je
attendant	VERB	attendre
sans	ADP	sans
-	ADV	-
.	PUNCT	.
porte	NOUN	porte
inconnus	NOUN	inconnu
Peu	ADV	peu
un	DET	un
en	ADP	en
mes	DET	mon
nos	DET	notre
que	PRON	que
bout	NOUN	bout
vu	VERB	voir
lieux	NOUN	lieu
vous	PRON	vous
idée	NOUN	idée
Combien	ADV	combien
au	ADP	au
.	PUNCT	.
nous	PRON	nous
en	ADP	en
police	NOUN	police
attirance	NOUN	attirance
quelque	DET	quelque
,	PUNCT	,
du	ADP	de
de	ADP	de
inutile	ADJ	inutile
.	PUNCT	.
abois	NOUN	aboi
,	PUNCT	,
policier	ADJ	policier
plusieurs	DET	plusieurs
tuer	VERB	tuer
au	ADP	au
,	PUNCT	,
le	DET	le
votre	DET	votre
me	PRON	me
de	ADP	de
l'	DET	le
le	DET	le
dérobe	VERB	dérobe
,	PUNCT	,
fournis	VERB	fournir
police	NOUN	police
partir	VERB	partir
il	PRON	il
cours	NOUN	cours
.	PUNCT	.
Si	SCONJ	si
Pigalle	PROPN	Pigalle
bureau	NOUN	bureau
m'	PRON	me
arrive	VERB	arrive
faite	VERB	faire
pousser	VERB	pousser
permission	NOUN	permission
.	PUNCT	.
cette	DET	ce
y	PRON	y
.	PUNCT	.
date	NOUN	date
peur	NOUN	peur
nos	DET	notre
une	DET	un
du	ADP	de
triste	ADJ	triste
Je	PRON	je
aux	ADP	à
au	ADP	au
j'	PRON	je
devais	VERB	devoir
Palais	NOUN	palais
rigueur	NOUN	rigueur
à	ADP	à
J'	PRON	je
«	PUNCT	«
qu'	SCONJ	que
la	DET	le
erreur	NOUN	erreur
-on	PRON	on
.	PUNCT	.
Moi	PRON	moi
représente	VERB	représente
.	PUNCT	.
d'	ADP	de
Nous	PRON	nous
n'	ADV	n'
,	PUNCT	,
les	DET	le
,	PUNCT	,
.	PUNCT	.
l'	DET	le
que	SCONJ	que
détendre	VERB	détendre
Nous	PRON	nous
à	ADP	à
je	PRON	je
et	CCONJ	et
années	NOUN	année
ont	AUX	avoir
hâtif	ADJ	hâtif
ans	NOUN	an
retour	NOUN	retour
hall	NOUN	hall
résonne	VERB	résonne
»	PUNCT	»
au	ADP	au
l'	DET	le
vous	PRON	vous
aux	ADP	à
gravés	VERB	graver
les	DET	le
de	ADP	de
Grand	ADJ	grand
pasionarias	NOUN	pasionaria
qui	PRON	qui
coupes	NOUN	coupe
en	ADP	en
et	CCONJ	et
manille	NOUN	manille
,	PUNCT	,
rassemblés	VERB	rassembler
Il	PRON	il
l'	DET	le
on	PRON	on
au	ADP	au
,	PUNCT	,
un	DET	un
les	DET	le
ses	DET	son
buffet	NOUN	buffet
dressé	VERB	dresser
de	ADP	de
-il	PRON	il
malaise	NOUN	malaise
journal	NOUN	journal
de	ADP	de
au	ADP	au
portait	VERB	porter
Georges	PROPN	Georges
même	ADV	même
bois	NOUN	bois
et	CCONJ	et
nous	PRON	nous
a	VERB	avoir
.	PUNCT	.
pour	ADP	pour
milieu	NOUN	milieu
se	PRON	se
.	PUNCT	.
étrangement	ADV	étrangement
ans	NOUN	an
ils	PRON	il
Grève	PROPN	Grève
nous	PRON	nous
cette	DET	ce
.	PUNCT	.
de	ADP	de
dans	ADP	dans
complètes	ADJ	complet
et	CCONJ	et
,	PUNCT	,
.	PUNCT	.
présentait	VERB	présenter
Il	PRON	il
blanches	ADJ	blanc
Annie	PROPN	Annie
plus	ADV	plus
garçons	NOUN	garçon
Il	PRON	il
vous	PRON	vous
l'	DET	le
,	PUNCT	,
témoin	NOUN	témoin
devant	ADP	devant
à	ADP	à
la	PRON	le
,	PUNCT	,
directeur	NOUN	directeur
de	ADP	de
demandait	VERB	demander
marchait	VERB	marcher
maire	NOUN	maire
la	DET	le
choc	NOUN	choc
cinq	NUM	cinq
faut	VERB	falloir
avait	AUX	avoir
Lestandi	PROPN	Lestandi
de	ADP	de
parties	NOUN	party
-	PROPN	-
inflexions	NOUN	inflexion
d'	DET	d'
»	PUNCT	»
le	DET	le
elle	PRON	lui
,	PUNCT	,
physique	NOUN	physique
Annie	PROPN	Annie
.	PUNCT	.
autour	ADV	autour
.	PUNCT	.
de	ADP	de
d'	ADP	de
,	PUNCT	,
dois	VERB	devoir
collection	NOUN	collection
,	PUNCT	,
«	PUNCT	«
atmosphère	NOUN	atmosphère
.	PUNCT	.
nous	PRON	nous
.	PUNCT	.
comme	ADP	comme
avec	ADP	avec
l'	DET	le
échangé	VERB	échanger
,	PUNCT	,
rien	PRON	rien
trouverait	VERB	trouver
?	PUNCT	?
étaient	AUX	être
de	ADP	de
quatre	NUM	quatre
«	PUNCT	«
un	DET	un
partie	NOUN	partie
l'	PRON	l'
accent	NOUN	accent
couverture	NOUN	couverture
au	ADP	au
,	PUNCT	,
sa	DET	son
du	ADP	de
garde	NOUN	garde
de	ADP	de
a	AUX	avoir
meuble	NOUN	meuble
Elle	PRON	lui
des	DET	un
est	AUX	être
,	PUNCT	,
tapantes	ADJ	tapant
luisants	ADJ	luisant
avait	AUX	avoir
fidèle	ADJ	fidèle
écart	NOUN	écart
de	ADP	de
et	CCONJ	et
y	PRON	y
cheveux	NOUN	cheveu
bien	ADV	bien
répit	NOUN	répit
nos	DET	notre
trébuchons	VERB	trébucher
échangé	VERB	échanger
politique	ADJ	politique
et	CCONJ	et
,	PUNCT	,
décomposé	VERB	décomposer
le	DET	le
interpellait	VERB	interpeller
par	ADP	par
khâgneux	NOUN	khâgneux
soir	NOUN	soir
Gras	NOUN	gras
demandant	VERB	demander
ont	AUX	avoir
les	DET	le
vous	PRON	vous
témoin	NOUN	témoin
de	ADP	de
Ermitage	PROPN	Ermitage
Les	DET	le
avais	AUX	avoir
.	PUNCT	.
fausse	ADJ	faux
,	PUNCT	,
entières	ADJ	entier
sentiment	NOUN	sentiment
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
bordelais	ADJ	bordelais
voyou	NOUN	voyou
première	ADJ	premier
quelques	DET	quelque
tenue	NOUN	tenue
photo	NOUN	photo
au	ADP	au
de	ADP	de
argent	NOUN	argent
arrêter	VERB	arrêter
du	ADP	de
,	PUNCT	,
collaborateur	NOUN	collaborateur
famille	NOUN	famille
;	PUNCT	;
;	PUNCT	;
Deyckecaire	PROPN	Deyckecaire
«	PUNCT	«
appareil	NOUN	appareil
artiste	NOUN	artiste
tous	ADJ	tout
,	PUNCT	,
Marcheret	PROPN	Marcheret
presse	NOUN	presse
qui	PRON	qui
,	PUNCT	,
est	AUX	être
l'	DET	le
.	PUNCT	.
très	ADV	très
mot	NOUN	mot
.	PUNCT	.
Gallas	PROPN	Gallas
,	PUNCT	,
de	DET	de
enfilade	NOUN	enfilade
tiroirs	NOUN	tiroir
spécialiste	NOUN	spécialiste
brune	ADJ	brun
les	DET	le
livres	NOUN	livre
industriel	NOUN	industriel
l'	PRON	l'
de	ADP	de
l'	PRON	l'
il	PRON	il
semaine	NOUN	semaine
Guy	PROPN	Guy
a	AUX	avoir
des	ADP	de
fermions	VERB	fermer
,	PUNCT	,
un	DET	un
hollandais	ADJ	hollandais
à	ADP	à
théâtre	NOUN	théâtre
du	ADP	de
quand	ADV	quand
,	PUNCT	,
,	PUNCT	,
la	DET	le
la	DET	le
a	AUX	avoir
est	AUX	être
air	NOUN	air
.	PUNCT	.
rue	NOUN	rue
C'	PRON	ce
Il	PRON	il
ma	DET	mon
allemand	ADJ	allemand
combiné	NOUN	combiné
,	PUNCT	,
se	PRON	se
Remy	PROPN	Remy
Maud	PROPN	Maud
.	PUNCT	.
.	PUNCT	.
fielleux	ADJ	fielleux
rejoints	VERB	rejoindre
tâtons	NOUN	tâton
dents	NOUN	dent
théâtre	NOUN	théâtre
la	DET	le
meurtre	NOUN	meurtre
.	PUNCT	.
un	DET	un
.	PUNCT	.
Asseyez	VERB	asseoir
fouillé	VERB	fouiller
élégante	ADJ	élégant
mariage	NOUN	mariage
à	ADP	à
traverser	VERB	traverser
sortir	NOUN	sortir
rêver	VERB	rêver
à	ADP	à
pointe	NOUN	pointe
Le	DET	le
--	PUNCT	--
Delvale	PROPN	Delvale
cérémonieux	ADJ	cérémonieux
pourrions	VERB	pouvoir
«	PUNCT	«
bond	NOUN	bond
des	DET	un
témoin	NOUN	témoin
d'	ADP	de
journées	NOUN	journée
plus	ADV	plus
sauver	VERB	sauver
est	AUX	être
au	ADP	au
éditoriaux	NOUN	éditorial
Cette	DET	ce
rangés	VERB	ranger
fourrure	NOUN	fourrure
de	ADP	de
pris	VERB	prendre
Chalva	PROPN	Chalva
Gerbère	PROPN	Gerbère
leurs	DET	leur
félicitaient	VERB	féliciter
pour	ADP	pour
Des	DET	un
montons	VERB	monter
Tenez	VERB	tenir
.	PUNCT	.
le	DET	le
on	PRON	on
que	SCONJ	que
»	PUNCT	»
mise	NOUN	mise
part	NOUN	part
Je	PRON	je
j'	PRON	je
humeur	NOUN	humeur
dénonciations	NOUN	dénonciation
fiancée	NOUN	fiancée
était	AUX	être
du	ADP	de
commodes	NOUN	commode
soixantaine	NOUN	soixantaine
moscovite	ADJ	moscovite
Bakerfixe	PROPN	Bakerfixe
était	AUX	être
tenions	VERB	tenir
candeur	NOUN	candeur
ses	DET	son
,	PUNCT	,
.	PUNCT	.
hypernerveux	ADJ	hypernerveux
fascistes	NOUN	fasciste
étaient	AUX	être
,	PUNCT	,
Et	CCONJ	et
Parisienne	NOUN	parisien
flattant	VERB	flatter
de	ADP	de
.	PUNCT	.
à	ADP	à
jetée	VERB	jeter
l'	PRON	l'
nous	PRON	nous
pourquoi	ADV	pourquoi
.	PUNCT	.
à	ADP	à
lire	VERB	lire
(	PUNCT	(
monterait	VERB	monter
.	PUNCT	.
,	PUNCT	,
,	PUNCT	,
un	PRON	un
lui	PRON	lui
virus	NOUN	virus
n'	ADV	n'
tweed	NOUN	tweed
,	PUNCT	,
cultivait	VERB	cultiver
entendu	VERB	entendre
voyait	VERB	voir
ferions	VERB	faire
avions	AUX	avoir
.	PUNCT	.
des	DET	un
a	AUX	avoir
Baron	NOUN	baron
couvertures	NOUN	couverture
de	ADP	de
y	PRON	y
elle	PRON	lui
se	PRON	se
au	ADP	au
.	PUNCT	.
Nous	PRON	nous
,	PUNCT	,
dont	PRON	dont
de	ADP	de
en	ADP	en
présence	NOUN	présence
ma	DET	mon
jardin	NOUN	jardin
propriétaires	NOUN	propriétaire
François	PROPN	François
,	PUNCT	,
la	DET	le
la	DET	le
,	PUNCT	,
Gerbère	PROPN	Gerbère
à	ADP	à
l'	DET	le
de	ADP	de
mariée	NOUN	marié
étagères	NOUN	étagère
mine	NOUN	mine
.	PUNCT	.
sienne	PRON	sienne
l'	DET	le
alliances	NOUN	alliance
Marcheret	PROPN	Marcheret
bonne	ADJ	bon
Lestandi	PROPN	Lestandi
peu	ADV	peu
la	DET	le
,	PUNCT	,
passé	VERB	passer
.	PUNCT	.
et	CCONJ	et
folklore	NOUN	folklore
-vous	PRON	vous
de	ADP	de
Murraille	PROPN	Murraille
cherchez	VERB	chercher
appartenait	VERB	appartenir
des	DET	un
pour	ADP	pour
,	PUNCT	,
pût	VERB	pouvoir
.	PUNCT	.
Je	PRON	je
en	ADP	en
voir	VERB	voir
l'	DET	le
Marcheret	PROPN	Marcheret
autre	PRON	autre
mémoire	NOUN	mémoire
cambrée	VERB	cambrer
votre	DET	votre
Sylviane	PROPN	Sylviane
être	AUX	être
-vous	PRON	vous
-t	PRON	-t
bute	VERB	bute
trente-huit	NUM	trente-huit
.	PUNCT	.
,	PUNCT	,
prévu	VERB	prévoir
étonnait	VERB	étonner
Le	DET	le
et	CCONJ	et
champagne	NOUN	champagne
lecture	NOUN	lecture
Le	DET	le
un	DET	un
Ils	PRON	il
dans	ADP	dans
charme	NOUN	charme
.	PUNCT	.
la	DET	le
encourageant	ADJ	encourageant
berger	NOUN	berger
la	DET	le
.	PUNCT	.
autre	PRON	autre
y	PRON	y
bras	NOUN	bras
Applaudissements	NOUN	applaudissement
Peut	ADV	peut
doigt	NOUN	doigt
.	PUNCT	.
suivante	ADJ	suivant
Il	PRON	il
Elle	PRON	lui
nous	PRON	nous
promis	VERB	promettre
On	PRON	on
Lucien	PROPN	Lucien
à	ADP	à
.	PUNCT	.
était	AUX	être
.	PUNCT	.
que	SCONJ	que
groupes	NOUN	groupe
Sieffer	PROPN	Sieffer
,	PUNCT	,
Normale	NOUN	normale
a	AUX	avoir
la	DET	le
l'	DET	le
les	DET	le
et	CCONJ	et
rendus	VERB	rendre
et	CCONJ	et
heures	NOUN	heure
y	PRON	y
escaliers	NOUN	escalier
Montmartre	PROPN	Montmartre
son	DET	son
Il	PRON	il
à	ADP	à
mois	NOUN	mois
.	PUNCT	.
interdit	VERB	interdire
vous	PRON	vous
improvisé	ADJ	improviser
lui	PRON	lui
aurions	VERB	avoir
.	PUNCT	.
de	ADP	de
à	ADP	à
?	PUNCT	?
pas	ADV	pas
Enfin	ADV	enfin
au	ADP	au
de	ADP	de
son	DET	son
.	PUNCT	.
disparu	VERB	disparaître
pas	ADV	pas
eux	PRON	lui
d'	ADP	de
de	ADP	de
commutateurs	NOUN	commutateur
féroce	ADJ	féroce
curieux	ADJ	curieux
pièce	NOUN	pièce
au	ADP	au
quelques	DET	quelque
ou	CCONJ	ou
assure	VERB	assure
pas	ADV	pas
dans	ADP	dans
Caumartin	PROPN	Caumartin
avec	ADP	avec
-	NOUN	-
plaisantant	VERB	plaisanter
saisi	VERB	saisir
se	PRON	se
découragerait	VERB	décourager
des	ADP	de
mais	CCONJ	mais
moi	PRON	moi
Elle	PRON	lui
et	CCONJ	et
spécialement	ADV	spécialement
salon	NOUN	salon
se	PRON	se
étages	NOUN	étage
France	PROPN	France
bien	ADV	bien
.	PUNCT	.
a	AUX	avoir
,	PUNCT	,
.	PUNCT	.
sont	AUX	être
vies	NOUN	vie
Elle	PRON	lui
vie	NOUN	vie
aussi	ADV	aussi
Parfum	NOUN	parfum
de	ADP	de
,	PUNCT	,
.	PUNCT	.
lunch	NOUN	lunch
évoluait	VERB	évoluer
et	CCONJ	et
s'	PRON	se
visages	NOUN	visage
du	ADP	de
du	ADP	de
laissé	VERB	laisser
une	DET	un
en	ADP	en
-vous	PRON	vous
.	PUNCT	.
se	PRON	se
des	DET	un
Il	PRON	il
prendraient	VERB	prendre
la	DET	le
Mariage	NOUN	mariage
disposons	VERB	disposer
plusieurs	DET	plusieurs
de	ADP	de
nièce	NOUN	nièce
plus	ADV	plus
elle	PRON	lui
ces	DET	ce
nous	PRON	nous
dans	ADP	dans
vous	PRON	vous
»	PUNCT	»
et	CCONJ	et
mais	CCONJ	mais
variétés	NOUN	variété
d'	ADP	de
.	PUNCT	.
le	DET	le
sur	ADP	sur
,	PUNCT	,
.	PUNCT	.
.	PUNCT	.
de	ADP	de
l'	PRON	l'
de	ADP	de
l'	DET	le
ayez	VERB	avoir
et	CCONJ	et
sont	AUX	être
haut	ADJ	haut
Sa	DET	son
de	ADP	de
.	PUNCT	.
était	AUX	être
gestes	NOUN	geste
Bien	ADV	bien
avait	VERB	avoir
,	PUNCT	,
temps	NOUN	temps
.	PUNCT	.
,	PUNCT	,
.	PUNCT	.
cette	DET	ce
d'	ADP	de
.	PUNCT	.
décor	NOUN	décor
et	CCONJ	et
:	PUNCT	:
appels	NOUN	appel
Murraille	PROPN	Murraille
voix	NOUN	voix
Foucré	PROPN	Foucré
l'	DET	le
Henri	PROPN	Henri
cortège	NOUN	cortège
la	DET	le
Murraille	PROPN	Murraille
les	DET	le
le	DET	le
de	ADP	de
les	DET	le
essayé	VERB	essayer
ce	DET	ce
Avenue	PROPN	Avenue
vous	PRON	vous
d'	ADP	de
.	PUNCT	.
un	DET	un
,	PUNCT	,
un	PRON	un
répondre	VERB	répondre
ne	ADV	ne
n'	ADV	n'
grelottement	NOUN	grelottement
entendait	VERB	entendre
autres	ADJ	autre
,	PUNCT	,
ce	DET	ce
,	PUNCT	,
un	PRON	un
tel	ADJ	tel
Murraille	PROPN	Murraille
droit	ADJ	droit
,	PUNCT	,
.	PUNCT	.
à	ADP	à
music	NOUN	music
de	ADP	de
Radio-Paris	PROPN	Radio-Paris
employait	VERB	employer
de	ADP	de
c'	PRON	ce
débutait	VERB	débuter
Ulm	PROPN	Ulm
de	ADP	de
de	ADP	de
contact	NOUN	contact
se	PRON	se
des	ADP	de
se	PRON	se
geste	NOUN	geste
intimes	NOUN	intime
un	DET	un
aux	ADP	à
autre	PRON	autre
souviens	VERB	souvenir
s'	PRON	se
et	CCONJ	et
gens	NOUN	gens
esprit	NOUN	esprit
un	DET	un
un	DET	un
Nous	PRON	nous
Remy	PROPN	Remy
On	PRON	on
a	AUX	avoir
ne	ADV	ne
viennent	VERB	venir
intimité	NOUN	intimité
jaunes	ADJ	jaune
.	PUNCT	.
tabac	NOUN	tabac
a	AUX	avoir
visage	NOUN	visage
du	ADP	de
milieu	NOUN	milieu
,	PUNCT	,
Avez	AUX	avoir
et	CCONJ	et
souvent	ADV	souvent
nuit	NOUN	nuit
que	PRON	que
le	DET	le
Clos	PROPN	Clos
la	DET	le
de	ADP	de
consacrés	VERB	consacrer
éclatant	VERB	éclater
»	PUNCT	»
a	AUX	avoir
lui	PRON	lui
sont	AUX	être
Côte	PROPN	Côte
le	DET	le
.	PUNCT	.
Des	DET	un
reconnaissable	ADJ	reconnaissable
verbe	NOUN	verbe
Azur	PROPN	Azur
de	ADP	de
que	PRON	que
manteau	NOUN	manteau
glissé	VERB	glisser
relevons	VERB	relever
raccroche	VERB	raccroche
au	ADP	au
de	ADP	de
Sur	ADP	sur
des	DET	un
de	ADP	de
-	ADV	-
.	PUNCT	.
On	PRON	on
La	DET	le
qu'	SCONJ	que
ce	DET	ce
à	ADP	à
de	ADP	de
.	PUNCT	.
être	ADV	être
Vers	ADP	vers
quatre	NUM	quatre
que	SCONJ	que
.	PUNCT	.
d'	ADP	de
Wildmer	PROPN	Wildmer
heures	NOUN	heure
et	CCONJ	et
)	PUNCT	)
avant	ADP	avant
pardon	NOUN	pardon
un	DET	un
,	PUNCT	,
Au	ADP	au
le	DET	le
derrière	ADP	derrière
grand	ADJ	grand
savez	VERB	savoir
-on	PRON	on
d'	ADP	de
tels	ADJ	tel
peu	ADV	peu
chambres	NOUN	chambre
et	CCONJ	et
j'	PRON	je
un	DET	un
téléphone	NOUN	téléphone
aime	VERB	aime
sa	DET	son
les	DET	le
de	ADP	de
vous	PRON	vous
milieu	NOUN	milieu
ils	PRON	il
trouver	VERB	trouver
les	DET	le
que	PRON	que
visiteurs	NOUN	visiteur
mot	NOUN	mot
C'	PRON	ce
appartenir	VERB	appartenir
.	PUNCT	.
dire	VERB	dire
Nous	PRON	nous
enflammés	VERB	enflammer
où	ADV	où
en	ADP	en
.	PUNCT	.
Lucien	PROPN	Lucien
aux	ADP	à
L'	DET	le
s'	PRON	se
de	ADP	de
sombre	ADJ	sombre
et	CCONJ	et
de	ADP	de
mairie	NOUN	mairie
la	DET	le
d'	ADP	de
l'	DET	le
et	CCONJ	et
a	AUX	avoir
,	PUNCT	,
.	PUNCT	.
,	PUNCT	,
reportages	NOUN	reportage
le	DET	le
joindre	VERB	joindre
explorer	VERB	explorer
une	DET	un
visage	NOUN	visage
brefs	ADJ	bref
la	DET	le
a	AUX	avoir
de	ADP	de
augmentait	VERB	augmenter
sa	DET	son
aube	NOUN	aube
avait	VERB	avoir
nous	PRON	nous
Murraille	PROPN	Murraille
ivre	ADJ	ivre
contre	ADP	contre
tiroirs	NOUN	tiroir
la	DET	le
fait	VERB	faire
«	PUNCT	«
.	PUNCT	.
agréable	ADJ	agréable
dit	VERB	dire
,	PUNCT	,
zézaient	VERB	zézayer
Champagne	PROPN	Champagne
que	SCONJ	que
les	DET	le
montrer	VERB	montrer
quelquefois	ADV	quelquefois
l'	DET	le
ont	AUX	avoir
cheveux	NOUN	cheveu
ou	CCONJ	ou
.	PUNCT	.
procédés	NOUN	procédé
,	PUNCT	,
Masque	NOUN	masque
jouent	VERB	jouer
confins	NOUN	confins
.	PUNCT	.
embrassé	VERB	embrasser
Annie	PROPN	Annie
fini	VERB	finir
Murraille	PROPN	Murraille
formaient	VERB	former
poches	NOUN	poche
Robert	PROPN	Robert
de	ADP	de
le	DET	le
sûr	ADJ	sûr
pas	ADV	pas
Joyce	PROPN	Joyce
demain	ADV	demain
alliance	NOUN	alliance
volontiers	ADV	volontiers
Sans	ADP	sans
On	PRON	on
époque	NOUN	époque
.	PUNCT	.
éventuels	ADJ	éventuel
entrechoquées	VERB	entrechoquer
la	DET	le
catégorie	NOUN	catégorie
au	ADP	au
acte	NOUN	acte
.	PUNCT	.
Quand	SCONJ	quand
chemin	NOUN	chemin
de	ADP	de
de	ADP	de
,	PUNCT	,
Marcheret	PROPN	Marcheret
comptes	NOUN	compte
Anatole	PROPN	Anatole
resté	VERB	rester
.	PUNCT	.
vous	PRON	vous
supérieurs	ADJ	supérieur
heures	NOUN	heure
Vingt-six	NUM	Vingt-six
rire	NOUN	rire
provincial	ADJ	provincial
cours	NOUN	cours
répandait	VERB	répandre
allait	VERB	aller
restent	VERB	rester
trois	NUM	trois
de	ADP	de
observais	VERB	observer
,	PUNCT	,
souvent	ADV	souvent
tombons	VERB	tomber
me	PRON	me
Sur	ADP	sur
venus	VERB	venir
faible	NOUN	faible
nous	PRON	nous
ce	PRON	ce
,	PUNCT	,
bavarder	VERB	bavarder
pas	ADV	pas
œuvres	NOUN	œuvre
de	ADP	de
succès	NOUN	succès
citoyen	NOUN	citoyen
»	PUNCT	»
les	DET	le
Un	DET	un
rue	NOUN	rue
mention	NOUN	mention
Un	DET	un
Vous	PRON	vous
d'	ADP	de
Murraille	PROPN	Murraille
des	ADP	de
chanter	VERB	chanter
Gerbère	PROPN	Gerbère
a	AUX	avoir
Delvale	PROPN	Delvale
à	ADP	à
n'	ADV	n'
lasser	VERB	lasser
levez	VERB	lever
d'	ADP	de
:	PUNCT	:
août	NOUN	août
chaque	DET	chaque
de	ADP	de
.	PUNCT	.
la	DET	le
le	DET	le
échos	NOUN	écho
légèrement	ADV	légèrement
Moi	PRON	moi
coupes	NOUN	coupe
Paris	PROPN	Paris
Monique	PROPN	Monique
page	NOUN	page
plein	ADJ	plein
sonnerie	NOUN	sonnerie
du	ADP	de
nous	PRON	nous
,	PUNCT	,
avec	ADP	avec
,	PUNCT	,
le	DET	le
Bureau	NOUN	bureau
bureau	NOUN	bureau
de	ADP	de
autre	ADJ	autre
Marcheret	PROPN	Marcheret
,	PUNCT	,
figuriez	VERB	figurer
obscurité	NOUN	obscurité
Supérieure	ADJ	supérieur
retrouvé	VERB	retrouver
«	PUNCT	«
Au	ADP	au
le	DET	le
introduirions	VERB	introduire
en	ADP	en
un	DET	un
Quimphe	PROPN	Quimphe
dans	ADP	dans
--	PUNCT	--
là	ADV	là
et	CCONJ	et
et	CCONJ	et
souvenir	NOUN	souvenir
n'	ADV	n'
voix	NOUN	voix
est	AUX	être
son	DET	son
,	PUNCT	,
portait	VERB	porter
salauds	NOUN	salaud
Sylviane	PROPN	Sylviane
attention	NOUN	attention
Nous	PRON	nous
qu'	SCONJ	que
Celui	PRON	celui
alors	ADV	alors
sur	ADP	sur
moindre	ADJ	moindre
nous	PRON	nous
m'	PRON	me
sa	DET	son
les	DET	le
Nice	PROPN	Nice
je	PRON	je
mes	DET	mon
comme	ADP	comme
violacé	ADJ	violacé
.	PUNCT	.
ici	ADV	ici
la	DET	le
.	PUNCT	.
chacun	PRON	chacun
Mais	CCONJ	mais
hilare	ADJ	hilare
m'	PRON	me
.	PUNCT	.
Deux	NUM	Deux
ces	DET	ce
devinait	VERB	deviner
il	PRON	il
